,Name,Age,Birth City,Birth Country,Birth Lat,Birth Lng,College,College Lat,College Lng,Ability Score
64,Devin Booker,23,"Grand Rapids, MI",USA,,,University of Kentucky,,,38.6
65,Chris Boucher,27,Castries,Canada,,,University of Oregon,,,6.5
66,Avery Bradley,29,"Tacoma, WA",USA,,,University of Texas at Austin,,,13.799999999999999
67,Avery Bradley,29,"Tacoma, WA",USA,,,University of Texas at Austin,,,24.3
68,Tony Bradley,22,"Bartow, FL",USA,,,University of North Carolina,,,12.399999999999999
69,Corey Brewer,34,"Portland, TN",USA,,,University of Florida,,,13.4
70,Corey Brewer,34,"Portland, TN",USA,,,University of Florida,,,8.799999999999999
71,Mikal Bridges,23,"Philadelphia, PA",USA,,,,,,15.6
72,Miles Bridges,22,"Flint, MI",USA,,,,,,14.099999999999998
73,Isaiah Briscoe,24,"Newark, NJ",USA,,,,,,8.0
74,Ryan Broekhoff,29,Melbourne,Australia,,,,,,6.199999999999999
75,Malcolm Brogdon,27,"Atlanta, GA",USA,,,University of Virginia,,,24.2
76,Dillon Brooks,24,Mississauga,Canada,,,University of Oregon,,,10.899999999999999
77,MarShon Brooks,31,"Long Branch, NJ",USA,,,,,,9.5
78,Bruce Brown,23,"Boston, MA",USA,,,,,,9.0
79,Jaylen Brown,23,"Marietta, GA",USA,,,University of California,,,19.899999999999995
80,Lorenzo Brown,29,"Roswell, GA",USA,,,North Carolina State University,,,5.1000000000000005
81,Sterling Brown,25,"Maywood, IL",USA,,,Southern Methodist University,,,11.500000000000002
82,Troy Brown Jr.,20,"Las Vegas, NV",USA,,,,,,9.6
83,Jalen Brunson,23,"Lincolnshire, IL",USA,,,,,,15.4
84,Thomas Bryant,22,"Rochester, NY",USA,,,Indiana University,,,19.3
85,Reggie Bullock,29,"Baltimore, MD",USA,,,University of North Carolina,,,18.0
86,Reggie Bullock,29,"Baltimore, MD",USA,,,University of North Carolina,,,14.200000000000001
87,Trey Burke,27,"Columbus, OH",USA,,,University of Michigan,,,17.200000000000003
88,Trey Burke,27,"Columbus, OH",USA,,,University of Michigan,,,14.399999999999999
89,Alec Burks,28,"Grandview, MO",USA,,,University of Colorado,,,11.799999999999999
90,Alec Burks,28,"Grandview, MO",USA,,,University of Colorado,,,21.2
91,Alec Burks,28,"Grandview, MO",USA,,,University of Colorado,,,4.8999999999999995
92,Deonte Burton,28,"Milwaukee, WI",USA,,,,,,4.2
93,Jimmy Butler,30,"Houston, TX",USA,,,Marquette University,,,34.1
94,Jimmy Butler,30,"Houston, TX",USA,,,Marquette University,,,29.8
95,Bruno Caboclo,24,Osasco,Brazil,,,,,,15.8
96,Jose Calderon,38,Villanueva de la Serena,Spain,,,,,,6.199999999999999
97,Kentavious Caldwell-Pope,27,"Thomaston, GA",USA,,,University of Georgia,,,16.7
98,Isaiah Canaan,28,"Biloxi, MS",USA,,,Murray State University,,,13.999999999999998
99,Isaiah Canaan,28,"Biloxi, MS",USA,,,Murray State University,,,8.500000000000002
100,Isaiah Canaan,28,"Biloxi, MS",USA,,,Murray State University,,,3.5
101,Clint Capela,25,Geneva,Switzerland,,,,,,32.8
102,DeMarre Carroll,33,"Birmingham, AL",USA,,,University of Missouri,,,18.1
103,Jevon Carter,24,"Oak Park, IL",USA,,,,,,8.9
104,Vince Carter,43,"Daytona Beach, FL",USA,,,University of North Carolina,,,11.9
105,Wendell Carter Jr.,20,"Atlanta, GA",USA,,,,,,21.000000000000004
106,Michael Carter-Williams,28,"Hamilton, MA",USA,,,Syracuse University,,,7.3999999999999995
107,Michael Carter-Williams,28,"Hamilton, MA",USA,,,Syracuse University,,,16.0
108,Alex Caruso,26,"College Station, TX",USA,,,Texas A&M University,,,16.4
109,Omri Casspi,31,Holon,Israel,,,,,,10.999999999999998
110,Willie Cauley-Stein,26,"Spearville, KS",USA,,,University of Kentucky,,,24.5
111,Troy Caupain,24,"New York, NY",USA,,,,,,4.5
112,Tyler Cavanaugh,26,"Syracuse, NY",USA,,,George Washington University,,,1.6
113,Tyson Chandler,37,"Hanford, CA",USA,,,,,,10.600000000000001
114,Tyson Chandler,37,"Hanford, CA",USA,,,,,,10.2
115,Wilson Chandler,32,"Benton Harbor, MI",USA,,,DePaul University,,,14.4
116,Wilson Chandler,32,"Benton Harbor, MI",USA,,,DePaul University,,,8.499999999999998
117,Joe Chealey,24,"Orlando, FL",USA,,,,,,3.0
118,Chris Chiozza,24,"Memphis, TN",USA,,,,,,2.3000000000000003
119,Marquese Chriss,22,"Sacramento, CA",USA,,,University of Washington,,,4.3
120,Marquese Chriss,22,"Sacramento, CA",USA,,,University of Washington,,,11.4
121,Gary Clark,25,"Smithfield, NC",USA,,,,,,6.5
122,Ian Clark,29,"Memphis, TN",USA,,,Belmont University,,,10.299999999999999
123,Jordan Clarkson,27,"Tampa, FL",USA,,,University of Missouri,,,23.4
124,John Collins,22,"Layton, UT",USA,,,Wake Forest University,,,32.3
125,Zach Collins,22,"Las Vegas, NV",USA,,,Gonzaga University,,,12.900000000000002
126,Darren Collison,32,"Rancho Cucamonga, CA",USA,,,"University of California, Los Angeles",,,21.799999999999997
127,Bonzie Colson,24,"Washington, DC",USA,,,,,,9.799999999999999
128,Mike Conley,32,"Fayetteville, AR",USA,,,Ohio State University,,,32.49999999999999
129,Pat Connaughton,27,"Arlington, MA",USA,,,University of Notre Dame,,,14.000000000000002
130,Quinn Cook,27,"Washington, DC",USA,,,Duke University,,,10.8
131,DeMarcus Cousins,29,"Mobile, AL",USA,,,University of Kentucky,,,29.9
132,Robert Covington,29,"Bellwood, IL",USA,,,Tennessee State University,,,21.200000000000003
133,Robert Covington,29,"Bellwood, IL",USA,,,Tennessee State University,,,25.0
134,Allen Crabbe,28,"Los Angeles, CA",USA,,,University of California,,,14.9
135,Torrey Craig,29,"Columbia, SC",USA,,,University of South Carolina Upstate,,,11.299999999999999
136,Jamal Crawford,40,"Seattle, WA",USA,,,University of Michigan,,,13.5
137,Mitch Creek,27,Horsham,Australia,,,,,,7.7
138,Mitch Creek,27,Horsham,Australia,,,,,,10.0
139,Jae Crowder,29,"Villa Rica, GA",USA,,,Marquette University,,,19.599999999999998
140,Dante Cunningham,32,"Clinton, MD",USA,,,Villanova University,,,7.300000000000001
141,Seth Curry,29,"Charlotte, NC",USA,,,Duke University,,,11.1
142,Stephen Curry,32,"Akron, OH",USA,,,Davidson College,,,39.5
143,Troy Daniels,28,"Roanoke, VA",USA,,,Virginia Commonwealth University,,,8.7
144,Anthony Davis,27,"Chicago, IL",USA,,,University of Kentucky,,,45.8
145,Deyonta Davis,23,"Muskegon, MI",USA,,,Michigan State University,,,9.5
146,Ed Davis,30,"Washington, DC",USA,,,University of North Carolina,,,16.0
147,Tyler Davis,22,"San Jose, CA",USA,,,,,,1.0
148,Dewayne Dedmon,30,"Lancaster, CA",USA,,,University of Southern California,,,21.900000000000002
149,Sam Dekker,25,"Sheboygan, WI",USA,,,University of Wisconsin,,,12.2
150,Sam Dekker,25,"Sheboygan, WI",USA,,,University of Wisconsin,,,10.999999999999998
151,Ángel Delgado,25,Santo Domingo,Dominican Republic,,,,,,4.0
152,Matthew Dellavedova,29,Maryborough,Australia,,,Saint Mary's College of California,,,5.1000000000000005
153,Matthew Dellavedova,29,Maryborough,Australia,,,Saint Mary's College of California,,,13.799999999999999
154,Luol Deng,34,Wow,South Sudan,,,Duke University,,,12.299999999999999
155,DeMar DeRozan,30,"Compton, CA",USA,,,University of Southern California,,,35.0
156,Marcus Derrickson,24,"Washington, DC",USA,,,,,,5.6
157,Cheick Diallo,23,Kayes,Mali,,,University of Kansas,,,12.7
158,Hamidou Diallo,21,"Queens, NY",USA,,,,,,6.5
159,Gorgui Dieng,30,Kebemer,Senegal,,,University of Louisville,,,12.5
160,Spencer Dinwiddie,27,"Los Angeles, CA",USA,,,University of Colorado,,,24.599999999999998
161,Donte DiVincenzo,23,"Newark, DE",USA,,,,,,9.1
162,Luka Doncic,21,Ljubjana,Slovenia,,,,,,36.4
163,Tyler Dorsey,24,"Pasadena, CA",USA,,,University of Oregon,,,5.8
164,Tyler Dorsey,24,"Pasadena, CA",USA,,,University of Oregon,,,15.400000000000002
165,Damyean Dotson,25,"Houston, TX",USA,,,University of Houston,,,17.0
166,PJ Dozier,23,"Columbia, SC",USA,,,,,,7.1
167,Goran Dragic,33,Ljubljana,Slovenia,,,,,,22.500000000000004
168,Andre Drummond,26,"Mount Vernon, NY",USA,,,University of Connecticut,,,37.8
169,Jared Dudley,34,"San Diego, CA",USA,,,Boston College,,,9.8
170,Kris Dunn,26,"New London, CT",USA,,,Providence College,,,23.4
171,Kevin Durant,31,"Washington, DC",USA,,,University of Texas at Austin,,,40.199999999999996
172,Trevon Duval,21,"New Castle, DE",USA,,,,,,2.7
173,Vincent Edwards,24,"Middletown, OH",USA,,,,,,2.5
174,Henry Ellenson,23,"Rice Lake, WI",USA,,,Marquette University,,,11.0
175,Henry Ellenson,23,"Rice Lake, WI",USA,,,Marquette University,,,10.8
176,Wayne Ellington,32,"Wynnewood, PA",USA,,,University of North Carolina,,,12.6
177,Wayne Ellington,32,"Wynnewood, PA",USA,,,University of North Carolina,,,16.8
178,Joel Embiid,26,Yaounde,Cameroon,,,University of Kansas,,,47.400000000000006
179,James Ennis III,29,"Ventura, CA",USA,,,"California State University, Long Beach",,,12.4
180,James Ennis III,29,"Ventura, CA",USA,,,"California State University, Long Beach",,,10.3
181,Drew Eubanks,23,"Starkville, MS",USA,,,,,,3.9
182,Jacob Evans,22,"Jacksonville, NC",USA,,,,,,3.2000000000000006
183,Jawun Evans,23,"Greenville, SC",USA,,,Oklahoma State University,,,4.4
184,Jawun Evans,23,"Greenville, SC",USA,,,Oklahoma State University,,,0.0
185,Tyreke Evans,30,"Chester, PA",USA,,,University of Memphis,,,16.6
186,Dante Exum,24,Melbourne,Australia,,,,,,11.5
187,Kenneth Faried,30,"Newark, NJ",USA,,,Morehead State University,,,9.5
188,Kenneth Faried,30,"Newark, NJ",USA,,,Morehead State University,,,23.300000000000004
189,Derrick Favors,28,"Atlanta, GA",USA,,,Georgia Institute of Technology,,,22.5
190,Cristiano Felicio,27,Pouso Alegre,Brazil,,,,,,8.499999999999998
191,Raymond Felton,35,"Marion, SC",USA,,,University of North Carolina,,,7.2
192,Terrance Ferguson,21,"Tulsa, OK",USA,,,,,,10.5
193,Yogi Ferrell,26,"Indianapolis, IN",USA,,,Indiana University,,,9.9
194,Dorian Finney-Smith,26,"Portsmouth, VA",USA,,,University of Florida,,,14.9
195,Bryn Forbes,26,"Lansing, MI",USA,,,Michigan State University,,,17.3
196,Evan Fournier,27,Saint-Maurice,France,,,,,,22.900000000000002
197,De'Aaron Fox,22,"New Orleans, LA",USA,,,University of Kentucky,,,30.600000000000005
198,Tim Frazier,29,"Houston, TX",USA,,,Pennsylvania State University,,,12.9
199,Tim Frazier,29,"Houston, TX",USA,,,Pennsylvania State University,,,12.8
200,Melvin Frazier Jr.,23,"New Orleans, LA",USA,,,,,,2.2
201,Jimmer Fredette,31,"Glens Falls, NY",USA,,,Brigham Young University,,,6.7
202,Channing Frye,36,"White Plains, NY",USA,,,University of Arizona,,,5.8999999999999995
203,Markelle Fultz,21,"Upper Marlboro, MD",USA,,,University of Washington,,,16.099999999999998
204,Danilo Gallinari,31,Sant'Angelo Lodigiano,Italy,,,,,,29.5
205,Langston Galloway,28,"Baton Rouge, LA",USA,,,Saint Joseph's University,,,12.2
206,Billy Garrett,25,"Chicago, IL",USA,,,,,,9.499999999999998
207,Marc Gasol,35,Barcelona,Spain,,,,,,31.299999999999997
208,Marc Gasol,35,Barcelona,Spain,,,,,,21.499999999999996
209,Pau Gasol,39,Barcelona,Spain,,,,,,11.5
210,Pau Gasol,39,Barcelona,Spain,,,,,,5.6
211,Rudy Gay,33,"Brooklyn, NY",USA,,,University of Connecticut,,,24.400000000000002
212,Paul George,29,"Palmdale, CA",USA,,,"California State University, Fresno",,,42.800000000000004
213,Taj Gibson,34,"Brooklyn, NY",USA,,,University of Southern California,,,19.8
214,Harry Giles III,21,"Winston-Salem, NC",USA,,,Duke University,,,13.200000000000001
215,Shai Gilgeous-Alexander,21,"Toronto, ON",Canada,,,,,,18.6
216,Rudy Gobert,27,Saint-Quentin,France,,,,,,33.800000000000004
217,Brandon Goodwin,24,,,,,,,,2.5
218,Aaron Gordon,24,"San Jose, CA",USA,,,University of Arizona,,,28.4
219,Eric Gordon,31,"Indianapolis, IN",USA,,,Indiana University,,,21.299999999999997
220,Marcin Gortat,36,Lodz,Poland,,,,,,12.6
221,Devonte' Graham,25,"Raleigh, NC",USA,,,,,,9.2
222,Treveon Graham,26,"Washington, DC",USA,,,Virginia Commonwealth University,,,9.9
223,Jerami Grant,26,"Portland, OR",USA,,,Syracuse University,,,21.8
224,Jerian Grant,27,"Silver Spring, MD",USA,,,University of Notre Dame,,,9.2
225,Donte Grantham,25,,,,,,,,0.0
226,Danny Green,32,"North Babylon, NY",USA,,,University of North Carolina,,,17.5
227,Draymond Green,30,"Saginaw, MI",USA,,,Michigan State University,,,24.1
228,Gerald Green,34,"Houston, TX",USA,,,,,,13.1
229,JaMychal Green,29,"Montgomery, AL",USA,,,University of Alabama,,,18.200000000000003
230,JaMychal Green,29,"Montgomery, AL",USA,,,University of Alabama,,,16.7
231,Jeff Green,33,"Cheverly, MD",USA,,,Georgetown University,,,19.200000000000003
232,Blake Griffin,31,"Oklahoma City, OK",USA,,,University of Oklahoma,,,38.5
233,Daniel Hamilton,24,"Los Angeles, CA",USA,,,University of Connecticut,,,7.1
234,Dusty Hannahs,26,,,,,,,,7.5
235,Tim Hardaway Jr.,28,"Orinda, CA",USA,,,University of Michigan,,,26.3
236,Tim Hardaway Jr.,28,"Orinda, CA",USA,,,University of Michigan,,,21.3
237,James Harden,30,"Los Angeles, CA",USA,,,Arizona State University,,,52.900000000000006
238,Maurice Harkless,26,"Queens, NY",USA,,,St. John's University,,,15.399999999999999
239,Montrezl Harrell,26,"Tarboro, NC",USA,,,University of Louisville,,,27.3
240,Devin Harris,37,"Milwaukee, WI",USA,,,University of Wisconsin,,,10.4
241,Gary Harris,25,"Fishers, IN",USA,,,Michigan State University,,,19.2
242,Joe Harris,28,"Chelan, WA",USA,,,University of Virginia,,,20.699999999999996
243,Tobias Harris,27,"Islip, NY",USA,,,University of Tennessee,,,32.5
244,Tobias Harris,27,"Islip, NY",USA,,,University of Tennessee,,,29.9
245,Andrew Harrison,25,"San Antonio, TX",USA,,,University of Kentucky,,,2.0
246,Andrew Harrison,25,"San Antonio, TX",USA,,,University of Kentucky,,,8.1
247,Andrew Harrison,25,"San Antonio, TX",USA,,,University of Kentucky,,,3.5
248,Shaquille Harrison,26,"Kansas City, MO",USA,,,,,,13.0
249,Josh Hart,25,"Silver Spring, MD",USA,,,Villanova University,,,14.5
250,Isaiah Hartenstein,21,"Eugene, OR",Germany,,,,,,4.7
251,Udonis Haslem,39,"Miami, FL",USA,,,University of Florida,,,5.4
252,Gordon Hayward,30,"Indianapolis, IN",USA,,,Butler University,,,20.5
253,John Henson,29,"Greensboro, NC",USA,,,University of North Carolina,,,13.0
254,Juancho Hernangomez,24,Madrid,Spain,,,,,,11.200000000000001
255,Willy Hernangomez,25,,Spain,,,,,,14.4
256,Mario Hezonja,25,Dubrovnik,Croatia,,,,,,15.5
257,Isaiah Hicks,25,"Oxford, NC",USA,,,University of North Carolina,,,8.3
258,Buddy Hield,27,Freeport,Bahamas,,,University of Oklahoma,,,29.299999999999997
259,Haywood Highsmith,23,,,,,,,,3.4
260,Nene Hilario,37,Sao Carlos,Brazil,,,,,,7.9
261,George Hill,33,"Indianapolis, IN",USA,,,Indiana University-Purdue University Indianapolis,,,16.8
262,George Hill,33,"Indianapolis, IN",USA,,,Indiana University-Purdue University Indianapolis,,,12.5
263,Solomon Hill,29,"Los Angeles, CA",USA,,,University of Arizona,,,9.2
264,Aaron Holiday,23,"Ruston, LA",USA,,,,,,9.600000000000001
265,Jrue Holiday,29,"Chatsworth, CA",USA,,,"University of California, Los Angeles",,,36.3
266,Justin Holiday,31,"Mission Hills, CA",USA,,,University of Washington,,,20.6
267,Justin Holiday,31,"Mission Hills, CA",USA,,,University of Washington,,,15.9
268,John Holland,31,"Bronx, NY",USA,,,Boston University,,,0.0
269,Rondae Hollis-Jefferson,25,"Chester, PA",USA,,,University of Arizona,,,17.0
270,Richaun Holmes,26,"Lockport, IL",USA,,,Bowling Green State University,,,15.499999999999998
271,Rodney Hood,27,"Meridian, MS",USA,,,Duke University,,,17.6
272,Rodney Hood,27,"Meridian, MS",USA,,,Duke University,,,13.5
273,Al Horford,33,Puerto Plata,Dominican Republic,,,University of Florida,,,26.599999999999998
274,Danuel House Jr.,26,"Houston, TX",USA,,,Texas A&M University,,,14.8
275,Dwight Howard,34,"Atlanta, GA",USA,,,,,,23.599999999999998
276,Kevin Huerter,21,"Albany, NY",USA,,,,,,17.1
277,Isaac Humphries,22,Sydney,Australia,,,,,,5.4
278,RJ Hunter,26,"Oxford, OH",USA,,,Georgia State University,,,24.0
279,Chandler Hutchison,23,,,,,,,,10.8
280,Serge Ibaka,30,Brazzaville,Democratic Republic of the Congo,,,,,,26.2
281,Andre Iguodala,36,"Springfield, IL",USA,,,University of Arizona,,,14.300000000000002
282,Ersan Ilyasova,32,Eskisehir,Turkey,,,,,,12.900000000000002
283,Joe Ingles,32,Happy Valley,Australia,,,,,,23.2
284,Andre Ingram,34,"Richmond, VA",USA,,,,,,0.7
285,Brandon Ingram,22,"Kinston, NC",USA,,,Duke University,,,27.6
286,Kyrie Irving,28,Melbourne,Australia,,,Duke University,,,37.800000000000004
287,Jonathan Isaac,22,"New York, NY",USA,,,Florida State University,,,18.3
288,Wes Iwundu,25,"Houston, TX",USA,,,Kansas State University,,,9.500000000000002
289,Demetrius Jackson,25,"South Bend, IN",USA,,,University of Notre Dame,,,5.3
290,Frank Jackson,21,"Washington, DC",USA,,,Duke University,,,11.8
291,Josh Jackson,23,"San Diego, CA",USA,,,University of Kansas,,,19.799999999999997
292,Justin Jackson,23,"Houston, TX",Canada,,,Maryland,,,11.4
293,Justin Jackson,23,"Houston, TX",Canada,,,Maryland,,,11.8
294,Reggie Jackson,29,Pordenone,USA,,,Boston College,,,23.0
295,Jaren Jackson Jr.,20,"Plainfield, NJ",USA,,,,,,21.9
296,LeBron James,35,"Akron, OH",USA,,,,,,46.1
297,Amile Jefferson,26,"Philadelphia, PA",USA,,,Duke University,,,4.6000000000000005
298,John Jenkins,29,"Nashville, TN",USA,,,Vanderbilt University,,,1.9
299,John Jenkins,29,"Nashville, TN",USA,,,Vanderbilt University,,,7.9
300,Jonas Jerebko,33,Kinna,Sweden,,,,,,12.1
301,Alize Johnson,23,"Williamsport, PA",USA,,,,,,2.7
302,Amir Johnson,32,"Los Angeles, CA",USA,,,,,,8.600000000000001
303,BJ Johnson,24,,,,,,,,5.1
304,BJ Johnson,24,,,,,,,,2.0
305,James Johnson,33,"Cheyenne, WY",USA,,,Wake Forest,,,14.6
306,Stanley Johnson,23,"Los Angeles, CA",USA,,,University of Arizona,,,13.6
307,Stanley Johnson,23,"Los Angeles, CA",USA,,,University of Arizona,,,9.999999999999998
308,Tyler Johnson,27,"Grand Forks, ND",USA,,,"California State University, Fresno",,,17.4
309,Tyler Johnson,27,"Grand Forks, ND",USA,,,"California State University, Fresno",,,20.900000000000002
310,Wesley Johnson,32,"Corsicana, TX",USA,,,Syracuse University,,,7.2
311,Wesley Johnson,32,"Corsicana, TX",USA,,,Syracuse University,,,5.5
312,Nikola Jokic,25,Sombor,Serbia,,,,,,40.2
313,Damian Jones,24,"Baton Rouge, LA",USA,,,Vanderbilt University,,,11.2
314,Jalen Jones,26,"Dallas, TX",USA,,,Texas A&M University,,,8.299999999999999
315,Jemerrio Jones,25,,,,,,,,17.099999999999998
316,Terrence Jones,28,"Portland, OR",USA,,,University of Kentucky,,,3.0
317,Tyus Jones,23,"Burnsville, MN",USA,,,Duke University,,,14.999999999999998
318,Derrick Jones Jr.,23,"Chester, PA",USA,,,"University of Nevada, Las Vegas",,,13.1
319,DeAndre Jordan,31,"Houston, TX",USA,,,Texas A&M University,,,28.400000000000002
320,DeAndre Jordan,31,"Houston, TX",USA,,,Texas A&M University,,,26.800000000000004
321,Cory Joseph,28,Toronto,Canada,,,University of Texas at Austin,,,15.200000000000001
322,Frank Kaminsky,27,"Winfield, IL",USA,,,University of Wisconsin,,,14.000000000000002
323,Enes Kanter,27,Zurich,Turkey,,,,,,27.199999999999996
324,Enes Kanter,27,Zurich,Turkey,,,,,,24.099999999999998
325,Luke Kennard,23,"Middletown, OH",USA,,,Duke University,,,14.9
326,Michael Kidd-Gilchrist,26,"Philadelphia, PA",USA,,,University of Kentucky,,,12.6
327,George King,25,"Fayetteville, NC",USA,,,,,,1.0
328,Maxi Kleber,28,Wurzburg,Germany,,,,,,13.999999999999998
329,Brandon Knight,28,"Miami, FL",USA,,,University of Kentucky,,,4.8
330,Brandon Knight,28,"Miami, FL",USA,,,University of Kentucky,,,13.499999999999998
331,Kevin Knox II,20,"Phoenix, AZ",USA,,,,,,19.300000000000004
332,Furkan Korkmaz,22,Istanbul,Turkey,,,,,,9.7
333,Luke Kornet,24,"Lantana, TX",USA,,,Vanderbilt University,,,12.6
334,Kyle Korver,39,"Lakewood, CA",USA,,,Creighton University,,,9.999999999999998
335,Kyle Korver,39,"Lakewood, CA",USA,,,Creighton University,,,13.399999999999999
336,Kosta Koufos,31,"Canton, OH",USA,,,Ohio State University,,,9.600000000000001
337,Rodions Kurucs,22,Cēsis,Latvia,,,,,,14.3
338,Kyle Kuzma,24,"Flint, MI",USA,,,University of Utah,,,27.7
339,Skal Labissiere,24,Port-Au-Prince,Haiti,,,University of Kentucky,,,5.5
340,Skal Labissiere,24,Port-Au-Prince,Haiti,,,University of Kentucky,,,6.699999999999999
341,Jeremy Lamb,27,"Henrico Valley, VA",USA,,,University of Connecticut,,,24.5
342,Zach LaVine,25,"Renton, WA",USA,,,"University of California, Los Angeles",,,34.3
343,Jake Layman,26,"Norwood, MA",USA,,,University of Maryland,,,12.2
344,TJ Leaf,22,Tel Aviv,USA,,,"University of California, Los Angeles",,,7.0
345,Courtney Lee,34,"Indianapolis, IN",USA,,,Western Kentucky University,,,9.1
346,Courtney Lee,34,"Indianapolis, IN",USA,,,Western Kentucky University,,,6.3999999999999995
347,Damion Lee,27,Baltimore. MD,USA,,,Louisville,,,7.700000000000001
348,Walt Lemon Jr.,27,,,,,,,,25.8
